material,route,quantity,energy_mwh,transport_km,end_of_life,process_stage1_energy,process_stage2_energy,process_stage3_energy,co2_kg,water_l,waste_kg,recycled_content,resource_efficiency,extended_life,reuse_potential
Aluminium,Primary,1,15,200,Landfill,5,5,5,8500,1000,300,10,40,10,20
Aluminium,Recycled,1,5,100,Recycling,1,2,2,500,200,50,90,85,15,80
Copper,Primary,1,12,150,Landfill,4,4,4,6000,800,200,5,35,8,15
Copper,Recycled,1,4,80,Recycling,1,1,2,700,150,40,85,80,12,70
Steel,Primary,1,10,100,Landfill,3,3,4,5000,600,250,15,50,12,25
Steel,Recycled,1,3,60,Recycling,1,1,1,400,100,30,95,90,18,85
Aluminium,Primary,2,30,400,Landfill,10,10,10,17000,2000,600,12,45,9,25
Aluminium,Recycled,2,10,200,Recycling,2,4,4,1000,400,100,88,82,14,78
Copper,Primary,2,24,300,Landfill,8,8,8,12000,1600,400,7,38,9,18
Copper,Recycled,2,8,160,Recycling,2,2,4,1400,300,80,83,78,13,68
Steel,Primary,2,20,200,Landfill,6,6,8,10000,1200,500,18,55,11,30
Steel,Recycled,2,6,120,Recycling,2,2,2,800,200,60,92,88,17,80
